m1.medium,768,2048,3,0,General Purpose,100
m1.large,768,2560,3,0,General Purpose,101
m1.xlarge,768,12288,16,0,General Purpose,102
m1.xlarge with HBASE,768,6144,8,0,General Purpose,103
m2.xlarge,1024,14336,14,0,General Purpose,104
m2.xlarge with Hbase,1024,7168,7,0,General Purpose,105
m2.2xlarge,1536,30720,20,0,General Purpose,106
m2.2xlarge with Hbase,1536,15360,10,0,General Purpose,107
m2.4xlarge,1536,61440,40,0,General Purpose,108
m2.4xlarge with Hbase,1536,30720,20,0,General Purpose,109
m3.xlarge,1440,11520,8,0,General Purpose,110
m3.xlarge with Hbase,1440,5760,4,0,General Purpose,111
m3.2xlarge,1440,23040,16,0,General Purpose,112
m3.2xlarge with Hbase,1440,11520,8,0,General Purpose,113
m4.large,3072,6144,2,0,General Purpose,114
m4.large with Hbase,3072,3072,1,0,General Purpose,115
m4.xlarge,1536,12288,8,0,General Purpose,116
m4.xlarge with Hbase,1536,6144,4,0,General Purpose,117
m4.2xlarge,1536,24576,16,0,General Purpose,118
m4.2xlarge with Hbase,1536,12288,8,0,General Purpose,119
m4.4xlarge,1792,57344,32,0,General Purpose,120
m4.4xlarge with Hbase,1792,28672,16,0,General Purpose,121
m4.10xlarge,1946,155648,80,0,General Purpose,122
m4.10xlarge with Hbase,1946,124544,64,0,General Purpose,123
m4.16xlarge,1984,253952,128,0,General Purpose,124
c1.medium,512,512,1,1,Compute Optimized,200
c1.xlarge,1024,5120,5,1,Compute Optimized,201
c1.xlarge with Hbase,1024,2560,2,1,Compute Optimized,202
c3.xlarge,1408,5632,4,1,Compute Optimized,203
c3.xlarge with Hbase,1408,2816,2,1,Compute Optimized,204
c3.2xlarge,1440,11520,8,1,Compute Optimized,205
c3.2xlarge with Hbase,1440,5760,4,1,Compute Optimized,206
c3.4xlarge,1440,23040,16,1,Compute Optimized,207
c3.4xlarge with Hbase,1440,11520,8,1,Compute Optimized,208
c3.8xlarge,1664,53248,32,1,Compute Optimized,209
c3.8xlarge with Hbase,1664,26624,16,1,Compute Optimized,210
c4.large,896,1792,2,1,Compute Optimized,211
c4.large with Hbase,896,896,1,1,Compute Optimized,212
c4.xlarge,1408,5632,4,1,Compute Optimized,213
c4.xlarge with Hbase,1408,2816,2,1,Compute Optimized,214
c4.2xlarge,1440,11520,8,1,Compute Optimized,215
c4.2xlarge with Hbase,1440,5760,4,1,Compute Optimized,216
c4.4xlarge,1440,23040,16,1,Compute Optimized,217
c4.4xlarge with Hbase,1440,11520,8,1,Compute Optimized,218
c4.8xlarge,1479,53248,36,1,Compute Optimized,219
c4.8xlarge with Hbase,1479,26624,18,1,Compute Optimized,220
cg1.4xlarge,1536,20480,14,1,Compute Optimized,221
cg1.4xlarge with Hbase,1536,10240,7,1,Compute Optimized,222
cc2.8xlarge,1536,56320,36,1,Compute Optimized,223
cc2.8xlarge with Hbase,1536,28160,18,1,Compute Optimized,224
cr1.8xlarge,7552,241664,32,1,Compute Optimized,225
cr1.8xlarge with Hbase,7552,211456,28,1,Compute Optimized,226
d2.xlarge,2928,23424,8,2,Storage Optimized,300
d2.xlarge with Hbase,2928,11712,4,2,Storage Optimized,301
d2.2xlarge,3392,54272,16,2,Storage Optimized,302
d2.2xlarge with Hbase,3392,27136,8,2,Storage Optimized,303
d2.4xlarge,3648,116736,32,2,Storage Optimized,304
d2.4xlarge with Hbase,3648,87552,24,2,Storage Optimized,305
d2.8xlarge,3021,241664,80,2,Storage Optimized,306
d2.8xlarge with Hbase,3021,211470,70,2,Storage Optimized,307
g2.2xlarge,768,"	12288",16,2,Storage Optimized,308
g2.2xlarge with Hbase,768,6144,8,2,Storage Optimized,309
hi1.4xlarge,3360,53760,16,2,Storage Optimized,310
hi1.4xlarge with Hbase,3360,26680,8,2,Storage Optimized,311
hs1.8xlarge,1536,56320,36,2,Storage Optimized,312
hs1.8xlarge with Hbase,1536,28160,18,2,Storage Optimized,313
i2.xlarge,2928,23424,8,2,Storage Optimized,314
i2.xlarge with Hbase,2928,11712,4,2,Storage Optimized,315
i2.2xlarge,3392,54272,16,2,Storage Optimized,316
i2.2xlarge with Hbase,3392,27136,8,2,Storage Optimized,317
i2.4xlarge,3648,116736,32,2,Storage Optimized,318
i2.4xlarge with Hbase,3648,87552,24,2,Storage Optimized,319
i2.8xlarge,3776,241664,64,2,Storage Optimized,320
i2.8xlarge with Hbase,3776,211456,56,2,Storage Optimized,321
r3.xlarge,2982,23424,8,3,Memory Optimized,400
r3.xlarge with Hbase,2982,11712,4,3,Memory Optimized,401
r3.2xlarge,3392,54272,16,3,Memory Optimized,402
r3.2xlarge with Hbase,3392,27136,8,3,Memory Optimized,403
r3.4xlarge,3648,116736,32,3,Memory Optimized,404
r3.4xlarge with Hbase,3648,87552,16,3,Memory Optimized,405
r3.8xlarge,3776,241664,64,3,Memory Optimized,406
r3.8xlarge with Hbase,3776,211456,56,3,Memory Optimized,407
r4.xlarge,5856,23424,4,3,Memory Optimized,408
r4.xlarge with Hbase,5856,11712,2,3,Memory Optimized,409
r4.2xlarge,6784,54272,8,3,Memory Optimized,410
r4.2xlarge with Hbase,6784,27136,4,3,Memory Optimized,411
r4.4xlarge,7296,116736,16,3,Memory Optimized,412
r4.4xlarge with Hbase,7296,87552,12,3,Memory Optimized,413
r4.8xlarge,7552,241664,32,3,Memory Optimized,414
r4.8xlarge with Hbase,7552,211456,28,3,Memory Optimized,415
r4.16xlarge,7680,491520,64,3,Memory Optimized,416
r4.16xlarge with Hbase,7680,460800,60,3,Memory Optimized,417
